"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"BNKGQYX1","discount_code","fixed_amount","order",-100,1,173.92,0,86.96,0,13.04,100
"OJLBN5OT","discount_code","fixed_amount","order",-100,1,173.92,0,86.96,0,13.04,100
"M3BXKF3H","discount_code","fixed_amount","order",-100,1,173.92,0,86.96,0,13.04,100
"GVDXEUQQ","discount_code","fixed_amount","order",-24,1,104.35,0,83.48,0,12.52,96
"GPAX6JOS","discount_code","fixed_amount","order",-100,1,169.56,0,82.61,0,12.39,95
"EXKIJRAI","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"R265 Containers plus R100 point","manual","fixed_amount",,-365,1,395.64,0,78.26,0,11.74,90
"Q9SL2GKZ","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"USHMW9CK","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"QZYQJMIP","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"KGQJRLVG","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"MBDB73BU","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"OVXTVWGJ","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"PAXUV1TH","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"YGYA3R95","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"VYCUHLK5","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"60WZZCGX","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"NTDYESAG","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"OCVEZYGM","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"DDOZAFUE","discount_code","fixed_amount","order",-100,1,165.21,0,78.26,0,11.74,90
"J4RM2XTV","discount_code","fixed_amount","order",-3824,1,3399.85,0,74.78,0,11.22,86
"RGAQS8ON","discount_code","fixed_amount","order",-106,1,165.2,0,73.04,0,10.96,84
"CNZAMMGW","discount_code","fixed_amount","order",-100,1,152.18,0,65.22,0,9.78,75
"PU37FQJB","discount_code","fixed_amount","order",-100,1,165.21,0,60.87,0,9.13,70
"TBRK9BCL","discount_code","fixed_amount","order",-500,1,495.65,0,60.87,0,9.13,70
"Was supposed to be added with first sales, with jpoints","manual","fixed_amount",,-20,1,165.21,0,60.87,0,9.13,70
